agnosia	agnosia (n.f) 
agnostic	agnóstico (adj) 
agnostic	agnóstico (n) 
agnostic	agnóstico (n.GD) 
agnosticism	agnosticismo (n.m) 
ago	hace (adv) 
agony	agonía (n.f) 
a_good_while	un_buen_rato (adv) 
agora	ágora (n.f) 
agoraphobia	agorafobia (n.f) 
Agostinacchio (np) 	Agostinacchio (np.cog.mf) 
Agostina (np) 	Agostina (np.ant) 
Agostino (np) 	Agostino (np.ant) 
Agota (np) 	Agota (np.ant) 
agrarian	agrario (adj) 
agreeable	agradable (adj.mf) 
agree	acordar (vblex) 
agree	concordar (vblex) 
agreed	acordado (adj) 
agree	estar#_de_acuerdo (vblex) 
agreement	acuerdo (n.m) 
agreement	contrato (n.m) 
agreement	convenio (n.m) 
agree#_with	estar#_de_acuerdo_con (vblex) 
agricultural	agrario (adj) 
agricultural	agrícola (adj.mf) 
agriculturalist	agricultor (n) 
agriculturalist	agricultor (n.GD) 
agriculture	agricultura (n.f) 
agri-food	agroalimenticio (adj) 
agrifood	agroalimenticio (adj) 
Agripina (np) 	Agripina (np.ant) 
Agripino (np) 	Agripino (np.ant) 
Agrippine (np) 	Agrippine (np.ant) 
agroecology	agroecología (n.f) 
agro-industrial	agroindustrial (adj.mf) 
agrology	agrología (n.f) 
agronomy	agronomía (n.f) 
Aguado (np) 	Aguado (np.cog.mf) 
Agueda (np) 	Agueda (np.ant) 
Aguilera (np) 	Aguilera (np.cog.mf) 
Aguirre (np) 	Aguirre (np.cog.mf) 
Agulló (np) 	Agulló (np.cog.mf) 
Agustina (np) 	Agustina (np.ant) 
Agustin (np) 	Agustin (np.ant) 
Agustín (np) 	Agustín (np.ant) 
Agusttin (np) 	Agusttin (np.ant) 
A/H1N1	A/H1N1 (n.acr.f) 
A/H5N1	A/H5N1 (n.acr.f) 
ah	ah (ij) 
ahead	adelante (adv) 
ahead	de_frente (adv) 
ahead_of	al_frente_de (pr) 
ahead_of_time	antes_de_tiempo (adv) 
Ahern (np) 	Ahern (np.cog.mf) 
Ahmad (np) 	Ahmad (np.ant) 
Ahmed (np) 	Ahmed (np.ant) 
a_hundred	cien (num.mf) 
Ahylin (np) 	Ahylin (np.ant) 
Aicardo (np) 	Aicardo (np.ant) 
Aidan (np) 	Aidan (np.ant) 
Aidano (np) 	Aidano (np.ant) 
Aida (np) 	Aida (np.ant) 
aid	ayuda (n.f) 
aide	asesor (n) 
aide	asesor (n.GD) 
Aiden (np) 	Aiden (np.ant) 
aid	socorro (n.m) 
Aikué (np) 	Aikué (np.ant) 
